"run","disturbance","uplandAmount","costPromotiveDecRate","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","gravityConstant","obTargetID","obSourceID","fecundityPromotiveRes","importsConstant","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","importsDistanceDecayTerm","fecundityPromotiveDecRate","trafficLongCoefficient","costDemotiveIncRate","trafficShortCoefficient","migrationDistanceThreshold"
59,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.58,0.05,10.0,1.0,0.9999,-1292742198,2.0,1.0,0.03,0.05,0.05,100.0
66,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.65,0.05,10.0,1.0,0.9999,-1292729592,2.0,1.0,0.03,0.05,0.05,100.0
73,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.72,0.05,10.0,1.0,0.9999,-1292717574,2.0,1.0,0.03,0.05,0.05,100.0
80,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.79,0.05,10.0,1.0,0.9999,-1292705732,2.0,1.0,0.03,0.05,0.05,100.0
87,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.86,0.05,10.0,1.0,0.9999,-1292693853,2.0,1.0,0.03,0.05,0.05,100.0
94,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.93,0.05,10.0,1.0,0.9999,-1292681558,2.0,1.0,0.03,0.05,0.05,100.0
101,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,1.0,0.05,10.0,1.0,0.9999,-1292668962,2.0,1.0,0.03,0.05,0.05,100.0
2,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.01,0.05,10.0,1.0,0.9999,-1292840089,2.0,1.0,0.03,0.05,0.05,100.0
9,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.08,0.05,10.0,1.0,0.9999,-1292824691,2.0,1.0,0.03,0.05,0.05,100.0
16,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.15,0.05,10.0,1.0,0.9999,-1292812212,2.0,1.0,0.03,0.05,0.05,100.0
23,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.22,0.05,10.0,1.0,0.9999,-1292800462,2.0,1.0,0.03,0.05,0.05,100.0
30,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.29,0.05,10.0,1.0,0.9999,-1292789047,2.0,1.0,0.03,0.05,0.05,100.0
37,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.36,0.05,10.0,1.0,0.9999,-1292777096,2.0,1.0,0.03,0.05,0.05,100.0
44,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.43,0.05,10.0,1.0,0.9999,-1292765184,2.0,1.0,0.03,0.05,0.05,100.0
51,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.5,0.05,10.0,1.0,0.9999,-1292753402,2.0,1.0,0.03,0.05,0.05,100.0
58,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.57,0.05,10.0,1.0,0.9999,-1292741825,2.0,1.0,0.03,0.05,0.05,100.0
65,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.64,0.05,10.0,1.0,0.9999,-1292729372,2.0,1.0,0.03,0.05,0.05,100.0
72,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.71,0.05,10.0,1.0,0.9999,-1292717818,2.0,1.0,0.03,0.05,0.05,100.0
79,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.78,0.05,10.0,1.0,0.9999,-1292705932,2.0,1.0,0.03,0.05,0.05,100.0
86,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.85,0.05,10.0,1.0,0.9999,-1292693558,2.0,1.0,0.03,0.05,0.05,100.0
93,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.92,0.05,10.0,1.0,0.9999,-1292680830,2.0,1.0,0.03,0.05,0.05,100.0
100,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.99,0.05,10.0,1.0,0.9999,-1292668313,2.0,1.0,0.03,0.05,0.05,100.0
1,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1292839717,2.0,1.0,0.03,0.05,0.05,100.0
8,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.07,0.05,10.0,1.0,0.9999,-1292824713,2.0,1.0,0.03,0.05,0.05,100.0
15,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.14,0.05,10.0,1.0,0.9999,-1292812607,2.0,1.0,0.03,0.05,0.05,100.0
22,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.21,0.05,10.0,1.0,0.9999,-1292800845,2.0,1.0,0.03,0.05,0.05,100.0
29,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.28,0.05,10.0,1.0,0.9999,-1292788783,2.0,1.0,0.03,0.05,0.05,100.0
36,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.35,0.05,10.0,1.0,0.9999,-1292776566,2.0,1.0,0.03,0.05,0.05,100.0
43,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.42,0.05,10.0,1.0,0.9999,-1292764597,2.0,1.0,0.03,0.05,0.05,100.0
50,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.49,0.05,10.0,1.0,0.9999,-1292752857,2.0,1.0,0.03,0.05,0.05,100.0
57,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.56,0.05,10.0,1.0,0.9999,-1292740485,2.0,1.0,0.03,0.05,0.05,100.0
64,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.63,0.05,10.0,1.0,0.9999,-1292728448,2.0,1.0,0.03,0.05,0.05,100.0
71,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.7,0.05,10.0,1.0,0.9999,-1292716366,2.0,1.0,0.03,0.05,0.05,100.0
78,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.77,0.05,10.0,1.0,0.9999,-1292704404,2.0,1.0,0.03,0.05,0.05,100.0
85,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.84,0.05,10.0,1.0,0.9999,-1292691712,2.0,1.0,0.03,0.05,0.05,100.0
92,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.91,0.05,10.0,1.0,0.9999,-1292679544,2.0,1.0,0.03,0.05,0.05,100.0
99,0.0,80,1.0,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.98,0.05,10.0,1.0,0.9999,-1292667843,2.0,1.0,0.03,0.05,0.05,100.0
