"run","disturbance","costPromotiveDecRate","uplandAmount","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","gravityConstant","obTargetID","obSourceID","fecundityPromotiveRes","importsConstant","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","importsDistanceDecayTerm","fecundityPromotiveDecRate","trafficLongCoefficient","costDemotiveIncRate","trafficShortCoefficient","migrationDistanceThreshold"
68,0.0,1.0,67,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296482654,2.0,1.0,0.03,0.05,0.05,100.0
75,0.0,1.0,74,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296467801,2.0,1.0,0.03,0.05,0.05,100.0
82,0.0,1.0,81,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296453016,2.0,1.0,0.03,0.05,0.05,100.0
89,0.0,1.0,88,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296439012,2.0,1.0,0.03,0.05,0.05,100.0
96,0.0,1.0,95,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296424121,2.0,1.0,0.03,0.05,0.05,100.0
103,0.0,1.0,102,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296410024,2.0,1.0,0.03,0.05,0.05,100.0
110,0.0,1.0,109,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296395940,2.0,1.0,0.03,0.05,0.05,100.0
117,0.0,1.0,116,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296382046,2.0,1.0,0.03,0.05,0.05,100.0
124,0.0,1.0,123,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296368736,2.0,1.0,0.03,0.05,0.05,100.0
131,0.0,1.0,130,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296356482,2.0,1.0,0.03,0.05,0.05,100.0
138,0.0,1.0,137,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296343181,2.0,1.0,0.03,0.05,0.05,100.0
145,0.0,1.0,144,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296328940,2.0,1.0,0.03,0.05,0.05,100.0
152,0.0,1.0,151,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296315810,2.0,1.0,0.03,0.05,0.05,100.0
159,0.0,1.0,158,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296303243,2.0,1.0,0.03,0.05,0.05,100.0
166,0.0,1.0,165,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296291369,2.0,1.0,0.03,0.05,0.05,100.0
173,0.0,1.0,172,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296280040,2.0,1.0,0.03,0.05,0.05,100.0
180,0.0,1.0,179,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296268731,2.0,1.0,0.03,0.05,0.05,100.0
187,0.0,1.0,186,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296257647,2.0,1.0,0.03,0.05,0.05,100.0
194,0.0,1.0,193,1.0,0,15,1.0,0.1,0.5,1.0,41,1,1.0,0.5,20.0,20.0,2.0,0.25,0.0,0.05,10.0,1.0,0.9999,-1296247742,2.0,1.0,0.03,0.05,0.05,100.0
