"","run","pop1","pop2","dif","canalDeath","canalDecay","sust","drought"
"460",460,127,43,84,1,16,0.25,3
"461",461,100,50,50,1,16,0.25,4
"462",462,134,55,79,1,16,0.25,5
"463",463,162,10,152,1,16,0.25,6
"464",464,117,40,77,1,16,0.25,7
"465",465,156,14,142,1,16,0.4,0
"466",466,184,21,163,1,16,0.4,1
"467",467,135,72,63,1,16,0.4,2
"468",468,167,52,115,1,16,0.4,3
"469",469,145,19,126,1,16,0.4,4
"470",470,186,37,149,1,16,0.4,5
"471",471,126,30,96,1,16,0.4,6
"472",472,106,25,81,1,16,0.4,7
"473",473,241,10,231,1,16,0.5,0
"474",474,186,28,158,1,16,0.5,1
"475",475,223,27,196,1,16,0.5,2
"476",476,201,65,136,1,16,0.5,3
"477",477,200,25,175,1,16,0.5,4
"478",478,196,15,181,1,16,0.5,5
"479",479,151,27,124,1,16,0.5,6
"480",480,219,11,208,1,16,0.5,7
"481",481,198,12,186,1,16,0.6,0
"482",482,201,31,170,1,16,0.6,1
"483",483,248,35,213,1,16,0.6,2
"484",484,214,6,208,1,16,0.6,3
"485",485,167,36,131,1,16,0.6,4
"486",486,277,17,260,1,16,0.6,5
"487",487,213,24,189,1,16,0.6,6
"488",488,233,29,204,1,16,0.6,7
"489",489,186,18,168,1,16,0.7,0
"490",490,256,31,225,1,16,0.7,1
"491",491,337,83,254,1,16,0.7,2
"492",492,224,91,133,1,16,0.7,3
"493",493,181,56,125,1,16,0.7,4
"494",494,262,29,233,1,16,0.7,5
"495",495,214,14,200,1,16,0.7,6
"496",496,207,24,183,1,16,0.7,7
"497",497,144,36,108,1,16,0.8,0
"498",498,288,42,246,1,16,0.8,1
"499",499,250,55,195,1,16,0.8,2
"500",500,259,15,244,1,16,0.8,3
"501",501,229,19,210,1,16,0.8,4
"502",502,349,13,336,1,16,0.8,5
"503",503,249,16,233,1,16,0.8,6
"504",504,285,34,251,1,16,0.8,7
"505",505,438,15,423,1,16,1,0
"506",506,277,107,170,1,16,1,1
"507",507,291,20,271,1,16,1,2
"508",508,362,94,268,1,16,1,3
"509",509,248,73,175,1,16,1,4
"510",510,368,11,357,1,16,1,5
"511",511,330,91,239,1,16,1,6
"512",512,351,8,343,1,16,1,7
"513",513,0,0,0,2,0,0.1,0
"514",514,0,0,0,2,0,0.1,1
"515",515,0,0,0,2,0,0.1,2
"516",516,0,0,0,2,0,0.1,3
"517",517,0,0,0,2,0,0.1,4
"518",518,0,0,0,2,0,0.1,5
"519",519,0,0,0,2,0,0.1,6
"520",520,0,0,0,2,0,0.1,7
"521",521,159,63,96,2,0,0.25,0
"522",522,142,51,91,2,0,0.25,1
"523",523,132,62,70,2,0,0.25,2
"524",524,142,72,70,2,0,0.25,3
"525",525,130,36,94,2,0,0.25,4
"526",526,104,28,76,2,0,0.25,5
"527",527,67,35,32,2,0,0.25,6
"528",528,166,55,111,2,0,0.25,7
"529",529,175,83,92,2,0,0.4,0
"530",530,150,74,76,2,0,0.4,1
"531",531,229,54,175,2,0,0.4,2
"532",532,133,69,64,2,0,0.4,3
"533",533,114,34,80,2,0,0.4,4
"534",534,197,53,144,2,0,0.4,5
"535",535,136,66,70,2,0,0.4,6
"536",536,140,53,87,2,0,0.4,7
"537",537,209,84,125,2,0,0.5,0
"538",538,188,56,132,2,0,0.5,1
"539",539,231,98,133,2,0,0.5,2
"540",540,170,56,114,2,0,0.5,3
"541",541,170,74,96,2,0,0.5,4
"542",542,222,56,166,2,0,0.5,5
"543",543,192,71,121,2,0,0.5,6
"544",544,188,74,114,2,0,0.5,7
"545",545,238,108,130,2,0,0.6,0
"546",546,242,87,155,2,0,0.6,1
"547",547,278,94,184,2,0,0.6,2
"548",548,174,71,103,2,0,0.6,3
"549",549,296,63,233,2,0,0.6,4
"550",550,232,57,175,2,0,0.6,5
"551",551,222,63,159,2,0,0.6,6
"552",552,217,70,147,2,0,0.6,7
"553",553,241,80,161,2,0,0.7,0
"554",554,288,75,213,2,0,0.7,1
"555",555,223,73,150,2,0,0.7,2
"556",556,333,68,265,2,0,0.7,3
"557",557,278,59,219,2,0,0.7,4
"558",558,138,76,62,2,0,0.7,5
"559",559,237,96,141,2,0,0.7,6
"560",560,218,107,111,2,0,0.7,7
"561",561,346,101,245,2,0,0.8,0
"562",562,233,91,142,2,0,0.8,1
"563",563,232,62,170,2,0,0.8,2
"564",564,246,106,140,2,0,0.8,3
"565",565,230,82,148,2,0,0.8,4
"566",566,298,104,194,2,0,0.8,5
"567",567,201,81,120,2,0,0.8,6
"568",568,309,119,190,2,0,0.8,7
"569",569,250,77,173,2,0,1,0
"570",570,320,91,229,2,0,1,1
"571",571,309,158,151,2,0,1,2
"572",572,317,125,192,2,0,1,3
"573",573,269,115,154,2,0,1,4
"574",574,370,115,255,2,0,1,5
"575",575,236,140,96,2,0,1,6
"576",576,322,92,230,2,0,1,7
"577",577,0,0,0,2,0.25,0.1,0
"578",578,0,0,0,2,0.25,0.1,1
"579",579,0,0,0,2,0.25,0.1,2
"580",580,0,0,0,2,0.25,0.1,3
"581",581,0,0,0,2,0.25,0.1,4
"582",582,0,0,0,2,0.25,0.1,5
"583",583,0,0,0,2,0.25,0.1,6
"584",584,0,0,0,2,0.25,0.1,7
"585",585,132,52,80,2,0.25,0.25,0
"586",586,117,56,61,2,0.25,0.25,1
"587",587,91,44,47,2,0.25,0.25,2
"588",588,158,56,102,2,0.25,0.25,3
"589",589,122,33,89,2,0.25,0.25,4
"590",590,110,49,61,2,0.25,0.25,5
"591",591,100,50,50,2,0.25,0.25,6
"592",592,94,56,38,2,0.25,0.25,7
"593",593,227,54,173,2,0.25,0.4,0
"594",594,179,50,129,2,0.25,0.4,1
"595",595,112,50,62,2,0.25,0.4,2
"596",596,167,61,106,2,0.25,0.4,3
"597",597,153,46,107,2,0.25,0.4,4
"598",598,159,41,118,2,0.25,0.4,5
"599",599,144,23,121,2,0.25,0.4,6
"600",600,170,47,123,2,0.25,0.4,7
"601",601,180,68,112,2,0.25,0.5,0
"602",602,134,33,101,2,0.25,0.5,1
"603",603,125,25,100,2,0.25,0.5,2
"604",604,196,61,135,2,0.25,0.5,3
"605",605,177,51,126,2,0.25,0.5,4
"606",606,140,61,79,2,0.25,0.5,5
"607",607,188,89,99,2,0.25,0.5,6
"608",608,206,83,123,2,0.25,0.5,7
"609",609,218,79,139,2,0.25,0.6,0
"610",610,293,115,178,2,0.25,0.6,1
"611",611,203,73,130,2,0.25,0.6,2
"612",612,203,45,158,2,0.25,0.6,3
"613",613,185,107,78,2,0.25,0.6,4
"614",614,238,46,192,2,0.25,0.6,5
"615",615,166,41,125,2,0.25,0.6,6
"616",616,242,71,171,2,0.25,0.6,7
"617",617,230,69,161,2,0.25,0.7,0
"618",618,319,74,245,2,0.25,0.7,1
"619",619,239,52,187,2,0.25,0.7,2
"620",620,243,89,154,2,0.25,0.7,3
"621",621,230,68,162,2,0.25,0.7,4
"622",622,256,36,220,2,0.25,0.7,5
"623",623,233,94,139,2,0.25,0.7,6
"624",624,243,51,192,2,0.25,0.7,7
"625",625,356,117,239,2,0.25,0.8,0
"626",626,288,35,253,2,0.25,0.8,1
"627",627,251,80,171,2,0.25,0.8,2
"628",628,299,67,232,2,0.25,0.8,3
"629",629,258,98,160,2,0.25,0.8,4
"630",630,317,55,262,2,0.25,0.8,5
"631",631,237,114,123,2,0.25,0.8,6
"632",632,240,70,170,2,0.25,0.8,7
"633",633,321,80,241,2,0.25,1,0
"634",634,242,113,129,2,0.25,1,1
"635",635,325,119,206,2,0.25,1,2
"636",636,311,122,189,2,0.25,1,3
"637",637,292,99,193,2,0.25,1,4
"638",638,353,125,228,2,0.25,1,5
"639",639,319,99,220,2,0.25,1,6
"640",640,269,74,195,2,0.25,1,7
"641",641,0,0,0,2,0.5,0.1,0
"642",642,0,0,0,2,0.5,0.1,1
"643",643,0,0,0,2,0.5,0.1,2
"644",644,0,0,0,2,0.5,0.1,3
"645",645,0,0,0,2,0.5,0.1,4
"646",646,0,0,0,2,0.5,0.1,5
"647",647,0,0,0,2,0.5,0.1,6
"648",648,0,0,0,2,0.5,0.1,7
