"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","fecundityDisturbance","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","costDisturbance","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","trafficLongCoefficient","fecundityDecRate","costMinFactor","fecundityReck","fecundityRegen","trafficShortCoefficient","migrationDistanceThreshold"
93,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1693000001,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.46,0.05,100.0
100,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1693009178,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.495,0.05,100.0
1,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692899928,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.0,0.05,100.0
8,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692906238,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.035,0.05,100.0
15,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692912601,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.07,0.05,100.0
22,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692918515,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.105,0.05,100.0
29,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692924451,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.14,0.05,100.0
36,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692931014,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.175,0.05,100.0
43,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692938210,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.21,0.05,100.0
50,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692945720,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.245,0.05,100.0
57,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692953732,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.28,0.05,100.0
64,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692962581,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.315,0.05,100.0
71,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692972040,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.35,0.05,100.0
78,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692981508,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.385,0.05,100.0
85,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1692990496,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.42,0.05,100.0
92,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1693000018,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.455,0.05,100.0
99,2.0,0.0,140,10.0,0,15,1.0,1.0,41,1,0.0667,0.5,1.0,10.0,5.0E-4,0.7,3.33E-4,2.0,1693009969,0.1,0.7,2.0,0.03,2.0,0.2,1.0,0.49,0.05,100.0
