"","pop1","pop2","dif","run"
"546",317,55,262,630
"547",353,125,228,638
"548",0,0,0,646
"549",131,29,102,654
"550",122,69,53,662
"551",149,65,84,670
"552",257,75,182,678
"553",233,77,156,686
"554",280,47,233,694
"555",229,19,210,702
"556",0,0,0,710
"557",138,54,84,718
"558",130,46,84,726
"559",152,63,89,734
"560",176,54,122,742
"561",377,87,290,750
"562",0,0,0,7
"563",134,58,76,15
"564",237,48,189,23
"565",181,57,124,31
"566",171,61,110,39
"567",312,110,202,47
"568",251,55,196,55
"569",428,79,349,63
"570",0,0,0,71
"571",134,43,91,79
"572",142,64,78,87
"573",170,75,95,95
"574",242,92,150,103
"575",163,51,112,111
"576",293,50,243,119
"577",299,103,196,127
"578",0,0,0,135
"579",113,44,69,143
"580",196,73,123,151
"581",155,67,88,159
"582",142,79,63,167
"583",256,90,166,175
"584",237,83,154,183
"585",268,98,170,191
"586",0,0,0,199
"587",101,68,33,207
"588",145,34,111,215
"589",163,8,155,223
"590",274,68,206,231
"591",231,89,142,239
"592",236,82,154,247
"593",246,101,145,255
"594",0,0,0,263
"595",104,38,66,271
"596",175,22,153,279
"597",201,23,178,287
"598",232,68,164,295
"599",284,61,223,303
"600",237,17,220,311
"601",201,81,120,319
"602",0,0,0,327
"603",111,48,63,335
"604",196,46,150,343
"605",262,31,231,351
"606",135,49,86,359
"607",222,90,132,367
"608",278,35,243,375
"609",314,97,217,383
"610",0,0,0,391
"611",110,45,65,399
"612",154,53,101,407
"613",300,46,254,415
"614",262,18,244,423
"615",249,69,180,431
"616",294,44,250,439
"617",432,53,379,447
"618",0,0,0,455
"619",162,10,152,463
"620",126,30,96,471
"621",151,27,124,479
"622",213,24,189,487
"623",214,14,200,495
"624",249,16,233,503
"625",330,91,239,511
"626",0,0,0,519
"627",67,35,32,527
"628",136,66,70,535
"629",192,71,121,543
"630",222,63,159,551
"631",237,96,141,559
"632",201,81,120,567
"633",236,140,96,575
"634",0,0,0,583
"635",100,50,50,591
"636",144,23,121,599
"637",188,89,99,607
"638",166,41,125,615
"639",233,94,139,623
"640",237,114,123,631
"641",319,99,220,639
"642",0,0,0,647
"643",180,62,118,655
"644",141,44,97,663
"645",134,29,105,671
"646",158,59,99,679
"647",185,74,111,687
"648",312,35,277,695
"649",315,65,250,703
"650",0,0,0,711
"651",132,33,99,719
"652",152,25,127,727
"653",169,71,98,735
"654",237,29,208,743
"655",259,34,225,751
"656",253,46,207,759
"657",433,41,392,767
"658",0,0,0,775
"659",145,37,108,783
"660",0,0,0,8
"661",101,51,50,16
"662",157,54,103,24
"663",147,65,82,32
"664",126,67,59,40
"665",247,102,145,48
"666",242,94,148,56
"667",327,105,222,64
"668",0,0,0,72
"669",137,33,104,80
"670",188,61,127,88
"671",138,70,68,96
"672",212,50,162,104
"673",233,80,153,112
"674",219,20,199,120
"675",289,105,184,128
"676",0,0,0,136
"677",173,44,129,144
"678",163,48,115,152
"679",190,76,114,160
"680",178,26,152,168
"681",306,73,233,176
"682",303,79,224,184
"683",285,111,174,192
"684",0,0,0,200
"685",97,36,61,208
"686",119,71,48,216
"687",253,11,242,224
"688",222,16,206,232
"689",209,14,195,240
"690",306,115,191,248
"691",381,12,369,256
"692",0,0,0,264
"693",130,28,102,272
"694",180,46,134,280
"695",210,16,194,288
"696",157,55,102,296
"697",257,89,168,304
"698",278,92,186,312
"699",292,24,268,320
"700",0,0,0,328
"701",138,45,93,336
"702",161,34,127,344
"703",178,13,165,352
"704",222,43,179,360
"705",306,67,239,368
"706",214,49,165,376
"707",346,136,210,384
"708",0,0,0,392
"709",155,17,138,400
"710",169,10,159,408
"711",217,26,191,416
"712",239,18,221,424
"713",240,53,187,432
"714",232,64,168,440
"715",312,46,266,448
"716",0,0,0,456
"717",117,40,77,464
"718",106,25,81,472
"719",219,11,208,480
"720",233,29,204,488
"721",207,24,183,496
"722",285,34,251,504
"723",351,8,343,512
"724",0,0,0,520
"725",166,55,111,528
"726",140,53,87,536
"727",188,74,114,544
"728",217,70,147,552
"729",218,107,111,560
"730",309,119,190,568
"731",322,92,230,576
"732",0,0,0,584
"733",94,56,38,592
"734",170,47,123,600
"735",206,83,123,608
"736",242,71,171,616
"737",243,51,192,624
"738",240,70,170,632
"739",269,74,195,640
"740",0,0,0,648
"741",129,35,94,656
"742",161,81,80,664
"743",219,47,172,672
"744",211,79,132,680
"745",186,83,103,688
"746",236,85,151,696
"747",290,19,271,704
"748",0,0,0,712
"749",55,64,-9,720
"750",160,37,123,728
"751",139,79,60,736
"752",129,65,64,744
"753",266,48,218,752
"754",168,91,77,760
"755",297,81,216,768
"756",0,0,0,776
"757",139,39,100,784
"758",162,14,148,792
"759",192,13,179,800
