"run","disturbance","fecundityMin","uplandAmount","costMaxFactor","disturbanceDelay","infert","gravityConstant","obTargetID","obSourceID","costIncRate","importsConstant","fecundityMax","costRegen","costResil","costDecRate","importsCoefficient","randomSeed","fecundityIncRate","fecundityResil","importsDistanceDecayTerm","fecundityDecRate","trafficLongCoefficient","costMinFactor","fecundityReck","fecundityRegen","migrationDistanceThreshold","trafficShortCoefficient"
581,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.8,0.05,2.0,-154452546,0.2,0.0,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
588,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.8,0.05,2.0,-154438659,0.2,0.2,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
595,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.8,0.05,2.0,-154424152,0.2,0.6,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
602,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.8,0.05,2.0,-154416985,0.2,0.8,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
609,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,0.8,0.05,2.0,-154400155,0.2,1.0,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
616,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,1.0,0.05,2.0,-154383488,0.2,0.0,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
623,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,1.0,0.05,2.0,-154371995,0.2,0.2,2.0,1.0,0.5,0.2,1,0.16,100.0,1.5
630,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,1.0,0.05,2.0,-154356798,0.2,0.4,2.0,1.0,0.5,0.2,1,0.2,100.0,1.5
637,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,1.0,0.05,2.0,-154340759,0.2,0.8,2.0,1.0,0.5,0.2,1,0.0,100.0,1.5
644,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.04,1.0,0.05,2.0,-154330361,0.2,1.0,2.0,1.0,0.5,0.2,1,0.04,100.0,1.5
651,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.0,0.05,2.0,-154313876,0.2,0.0,2.0,1.0,0.5,0.2,1,0.08,100.0,1.5
658,1.0,0.0,210,10.0,0,5,1.0,41,1,0.05,0.5,10.0,0.06,0.0,0.05,2.0,-154304354,0.2,0.2,2.0,1.0,0.5,0.2,1,0.12,100.0,1.5
