"run","foodBloatsWeight","foodMin","weightRegen","foodGrowth","foodUnsustainability","weightMaxFactor","weightResil","infert","weightBloatRate","push","foodRegen","weightImproveRate","foodDecay","randomSeed","weightMinFactor","droughtMod","foodMax","weightDrought","foodResil","fort","foodDrought","deathFraction"
360,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.05,267264132,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
366,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.05,267266654,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
372,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.05,267269042,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
378,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.05,267271300,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
384,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.1,267273785,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
390,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.1,267276594,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
396,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.1,267278636,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
402,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.035,0.005,0.1,267281412,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
408,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.0,267283942,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
414,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.0,267286746,0.2,0,10.0,1.0,1.0,9.9999999E7,0.6,0.0
420,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.0,267289340,0.2,0,10.0,1.75,0.5,9.9999999E7,0.6,0.0
426,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.0,267291826,0.2,0,10.0,2.5,0.0,9.9999999E7,0.6,0.0
432,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.0,267293900,0.2,0,10.0,2.5,1.0,9.9999999E7,0.6,0.0
438,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.05,267297369,0.2,0,10.0,1.0,0.5,9.9999999E7,0.6,0.0
444,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.05,267299621,0.2,0,10.0,1.75,0.0,9.9999999E7,0.6,0.0
450,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.05,267302040,0.2,0,10.0,1.75,1.0,9.9999999E7,0.6,0.0
456,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.05,267304510,0.2,0,10.0,2.5,0.5,9.9999999E7,0.6,0.0
462,0.0,0.0,0.0,0.02,1,5.0,0.0,100,0.125,1.0,0.07,0.005,0.1,267306741,0.2,0,10.0,1.0,0.0,9.9999999E7,0.6,0.0
